ResponseID,Interface,Webam,IPAddress,StartDate,EndDate,Randomcode,Browser Meta Info-Browser,Browser Meta Info-Version,Browser Meta Info-Operating System,Browser Meta Info-Screen Resolution,Browser Meta Info-User Agent,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Which locations for the marketing campaign has been discussed?-Bus stop near the courthosue,Which locations for the marketing campaign has been discussed?-Meeting point in the park,Which locations for the marketing campaign has been discussed?-Billboard next to the highway,Which locations for the marketing campaign has been discussed?-Local newspaper,Which locations for the marketing campaign has been discussed?-Baseball stadium,Which locations for the marketing campaign has been discussed?-Shopping mall entrance,LocationCheck,Please describe in a few sentences what you saw person A doing:,Please describe in a few sentences what you saw person B doing:,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Polite,Acceptable,ObviousMe,ObviousA,EngagementA,EngagementB,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",EyeContact,FeelingEngagedB,IdeaB,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",searching for other locations for the advertising campaign.,reading a personal email.,browsing Facebook.,AvgWork,listening to person A.,reading a work-related email from another co-worker.,chatting with another co-worker.,AvgPersonal,chatting with a friend.,focusing on the document person A is talking about.,AvgMeeting,looking at a document for another project.,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Please explain in a few sentences how obvious it was to you that person B was recorded with diffe...,How many times switched the recording of person B to another webcam?,Timing-First Click,Timing-Last Click,"Timing-#QuestionText, TimingPageSubmit#","Timing-#QuestionText, TimingClickCount#",Gender,What is your age?,VCExperience,LocationLatitude,LocationLongitude
R_DOEkLTH2DZs59CN,bigsmall,switch,50.136.176.197,9/14/2015 23:45,9/14/2015 23:51,2734happy,Chrome,45.0.2454.85,Windows NT 6.3,1366x768,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",211.938,214.674,243.156,2,3.85,9.906,33.378,4,1,,1,,1,,,Person A was listening to the suggestions,Person B was giving the suggestions,4.531,14.142,14.85,8,4,4,3,4,3,2,9.626,10.899,11.291,3,3,2,4,8.998,13.543,14.079,10,4,3,2,,3,4,3,,2,3,,3,1.296,9.396,13.234,3,Very obvious,1,7.677,15.853,16.141,4,1,2,2,37.25549316,-121.9244995
R_1pG5FikRh7tGbfg,bigsmall,switch,68.56.85.161,9/15/2015 0:34,9/15/2015 0:40,3742happy,Chrome,42.0.2311.135,Macintosh,1280x800,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/42.0.2311.135 Safari/537.36",0,0,91.875,0,4.724,27.516,31.858,5,1,,1,,1,,,"moving to a different screen, looking at her computer ",speaking into the camera,2.83,32.4,32.798,12,2,2,4,3,5,2,9.846,14.62,15.155,4,2,2,4,4.468,52.208,52.633,13,2,4,3,,2,3,1,,1,3,,4,5.459,18.906,19.747,2,it was obvious,2,1.01,6.883,8.752,3,2,3,2,42.95359802,-85.6576004
R_23NHKMBM6xbYoUR,bigsmall,switch,64.144.119.186,9/15/2015 4:09,9/15/2015 4:34,6002happy,Firefox,40,Windows NT 6.3,1366x768,Mozilla/5.0 (Windows NT 6.3; WOW64; rv:40.0) Gecko/20100101 Firefox/40.0,0,0,844.617,0,14.484,39.366,14.069,5,1,1,1,,,,,Talking,talking,316.882,325.713,326.878,6,4,4,4,4,4,3,9.417,20.043,21.405,5,2,2,3,8.496,25.798,29.543,9,4,3,3,,4,4,3,,3,4,,4,10.682,17.597,23.681,3,not sure,4,2.441,11.42,14.716,3,1,3,4,35.22709656,-80.8431015
R_3Lb7fBhn3PYWmGZ,bigsmall,switch,73.4.156.42,9/15/2015 5:53,9/15/2015 5:59,9630happy,Chrome,45.0.2454.85,Windows NT 6.1,1440x900,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",0,0,91.203,0,5.503,34.137,66.176,5,1,,1,,1,,,Describing the advertisement campaign,Closely watching her webcam...on her two monitors.,9.511,36.744,37.434,6,4,5,4,4,5,4,15.03,29.676,30.207,5,5,3,4,15.077,42.85,43.97,10,1,4,4,,4,4,2,,3,2,,4,8.9,37.528,39.257,2,"Very obvious, I noticed right away when the webcam changed angles.",2,1.844,8.921,10.866,3,1,3,2,42.79139709,-71.13220215
R_2S7ffUSvAYQ87ww,bigsmall,switch,50.137.139.99,9/15/2015 5:59,9/15/2015 6:06,8289happy,Firefox,40,Windows NT 6.0,1024x768,Mozilla/5.0 (Windows NT 6.0; rv:40.0) Gecko/20100101 Firefox/40.0,0,0,82.246,0,7.832,150.046,181.242,7,1,,1,,1,,,"Assuming person A is the smaller window, she was reading from something and looking at the camera","Looking at the camera, turning to the right to look at another camera",6.165,22.717,23.708,6,4,4,3,3,4,4,14.982,21.663,22.72,3,4,4,4,5.652,26.804,27.728,9,3,2,2,,4,2,2,,2,4,,2,6.767,63.879,71.951,2,completely obvious. ,2,1.489,8.579,10.929,3,2,3,2,44.46980286,-123.3430023
R_3HHN91F3PJZy5XS,bigsmall,switch,107.182.226.90,9/15/2015 7:49,9/15/2015 7:55,9246happy,Chrome,45.0.2454.85,Windows NT 6.1,1366x768,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",20.702,20.702,73.591,1,1.492,60.155,110.86,5,1,1,1,,,,,Asking a questions about 3 view point sended by e-mail.,"Listening to first person, looking at the e-mail photoes, agree witj a first person to ask.",6.816,39.179,39.863,6,4,4,3,3,2,2,8.242,21.209,21.924,3,4,3,3,7.256,33.801,34.826,9,3,4,2,,4,3,3,,3,4,,2,14.832,25.681,37.307,3,checking her mail,2,1.294,12.622,14.21,3,1,4,6,41.69290161,-111.8146973
R_Rb2Het1HfEevHPj,bigsmall,switch,107.140.176.37,9/15/2015 9:29,9/15/2015 9:33,9954happy,Chrome,45.0.2454.85,Windows NT 6.3,1366x768,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",0,0,72.522,0,12.239,14.97,46.696,3,1,,1,,1,,,telling the girl about possible locations,watching her screen for locations,27.061,36.752,37.336,6,5,5,5,3,5,5,5.024,7.529,8.797,3,4,5,5,3.277,13.715,16.824,9,5,1,1,,5,1,1,,1,5,,1,1.189,23.505,25.603,5,you could still se her even though she changed directions,1,1.21,5.347,7.028,3,1,4,1,42.28430176,-85.22930145
R_2qxYiIjKZObfiCn,bigsmall,switch,54.148.44.119,9/15/2015 10:42,9/15/2015 10:49,5515happy,Chrome,45.0.2454.85,Windows NT 10.0,1366x768,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.85 Safari/537.36",7.034,77.074,79.333,2,3.557,89.083,96.264,10,1,1,,,1,,,the person A was talking and explaining places,the person B was listening,6.983,17.551,18.938,6,5,5,1,1,4,4,11.137,17.017,18.171,3,4,4,4,5.458,18.266,19.002,11,1,1,5,,5,1,1,,1,5,,1,23.16,35.841,36.368,5,obvious,1,1.909,7.973,9.225,3,1,3,5,45.83990479,-119.7005997
R_3kt7NlAevTONOQ3,bigsmall,switch,74.68.51.54,9/15/2015 13:00,9/15/2015 13:10,3485happy,Firefox,40,Android,360x592,Mozilla/5.0 (Android; Mobile; rv:40.0) Gecko/40.0 Firefox/40.0,0,0,76.003,0,9.352,83.741,149.879,5,1,,1,,1,,,Person A was reading from her notes/powerpoint on how to go about completing the project. She was attentive and focused on saying what she needed to say.,"She was listening watching the presentation of person A. She looked away for a moment, possible to a second screen, then resumed listening to the presentation.",8.614,32.69,35.001,8,4,4,4,3,5,4,13.658,21.944,23.829,3,4,4,4,3.956,28.367,30.569,9,4,4,2,,5,4,3,,2,4,,3,14.605,70.112,76.184,3,It was very obvious. This was because there was a complete point of view switch.,2,5.407,13.348,15.997,2,1,4,3,41.44869995,-74.46900177
R_3NUw1YknFEWXw5O,bigsmall,switch,97.94.218.170,9/15/2015 15:11,9/15/2015 15:18,3498happy,Firefox,40,Windows NT 6.0,1024x768,Mozilla/5.0 (Windows NT 6.0; rv:40.0) Gecko/20100101 Firefox/40.0,5.042,5.042,96.095,1,7.857,10.849,14.593,3,1,,1,,1,,,Person A was not really doing anything but facing forward and speaking,Person B was really not doing anything but facing forward speaking,13.786,42.886,44.104,8,4,4,2,2,4,4,21.892,34.796,36.378,3,4,4,3,10.39,28.053,30.734,9,2,2,2,,4,2,2,,2,4,,2,12.34,62.081,63.459,2,"because the screen flicked and had there only been 1 webcab, when person b switcherd to the second monitor we would have seen her from the side or behind",1,1.458,9.258,11.507,3,2,4,2,32.86590576,-97.21759796
